关键词,完整标题,预编码结果,编码理由关键词
美容,美容奇藥,3_愿景,奇药/美
美容,立愈癬癢药水　退雀斑愈凍瘡美容水,1_恐吓,癣/痒/斑/疮
美容,美容寶鑰,3_愿景,宝/美
美容,立愈癬癢药水退雀斑愈凍瘡美容水,1_恐吓,癣/痒/斑/疮
美容,換膚美容機,2_科学,机/换肤
美容,美容奇药,3_愿景,奇药/美
美容,北四川路仁智里口紫羅蘭美容室今天開幕,3_愿景,美/开幕
美容,美容奇藥分售杭州中法藥房嘉興華美藥房汕頭亞東公司厦門三德洋行安東恒興洋行雲南科發藥房,3_愿景,奇药
美容,換膚美容機功效可以當塲立刻試騐,2_科学,机/试验/功效
美容,美容寳鑰,3_愿景,宝/美
美容,國民黨全書换膚美容機,2_科学,机
美容,美顏妙品美容霜,3_愿景,美/妙品
美容,紫羅蘭美容室開幕啟事,0_未分类,
美容,美容奇藥分售杭州中法藥房嘉興華美藥房汕頭亞東公司廈門三德洋行梧州三德洋行雲南科發藥房,3_愿景,奇药
美容,羅威公司最新出品孩兒靣唯一的美容劑！,3_愿景,唯一/美
美容,化學界最新發明之美容妙品孩兒面,2_科学,化学/发明
美容,色白香濃潤肌美容自由霜,3_愿景,白/香/美
美容,睡中美容法歐美大流行,2_科学,法/欧美
美容,這美容的孩兒面眞可愛！,3_愿景,爱/美
美容,睡中美容法歐美大流行現已到上海,2_科学,法/欧美
美容,患遺精者都來歸我美容寳鑰,1_恐吓,遗精
美容,歐美盛行之美容四寶,2_科学,欧美
美容,五洲大藥房夏季大廉價三星期,3_愿景,廉价
美容,夏令衛生有備無患,2_科学,卫生
美容,駐顏與美容,3_愿景,颜/美
美容,美容法消黑美容丸,1_恐吓,黑
美容,衛生美容潑佩科牙膏,2_科学,卫生
美容,潑佩科牙膏衛生美容,2_科学,卫生
美容,美容妙品,3_愿景,妙品/美
美容,棕瑰美容水,3_愿景,美/水
美容,敎授美容,3_愿景,美
美容,衛生美容潑佩科,2_科学,卫生
美容,衛生美容潑佩科牙膏負有重大責任,2_科学,卫生
美容,紫羅蘭美容室招請超等理髮師,3_愿景,美
美容,天空郵船行將出現美容保險五百萬元七十老嫗之大冒險,1_恐吓,老
美容,首創老牌美容妙品,3_愿景,首创/妙品
美容,眞正老牌美容奇藥,3_愿景,奇药/美
美容,湯森氏製眞正老牌美容奇藥,3_愿景,奇药/美
美容,湯森氏製真正老牌美容奇藥,3_愿景,奇药/美
美容,三分美人七分粧,3_愿景,美
美容,（眞正老牌）美容奇藥,3_愿景,奇药/美
美容,三星牌軟質雪花精之特點　在能為皮膚所吸收深入肌理故於美容　有獨到之功效,2_科学,理/功效
美容,三星牌軟質雪花精之特點在能為皮膚所吸收深入肌理故於美容有獨到之功效,2_科学,理/功效
美容,五洲美容霜,3_愿景,美
美容,三花牌美容妙品,3_愿景,妙品/美
美容,自來血　五洲美容霜,3_愿景,美
美容,西風燥烈摧殘肌膚五洲美容霜,1_恐吓,摧残
美容,內服除斑美容珍品到滬！,1_恐吓,斑
美容,美容妙品科學發明活動照相招收面授函授學□,2_科学,科学/发明
美容,吉蘭美容片到滬,3_愿景,美/片
美容,色白香濃。品高價廉。日用洗濯。肌膚柔膩。實為美容之妙品。,3_愿景,白/香/妙品
美容,美容聖葯,3_愿景,圣药/美
美容,革命化的國貨美容品明珠霜　香水霜,3_愿景,美/香
美容,革命化的國貨美容品明珠霜香水霜,3_愿景,美/香
美容,求而不易得到之美今有三種妙品以供一試,3_愿景,美/妙品
美容,美容科皮膚科下列為本院發行之經騐靈藥,2_科学,科/灵药
美容,迪安,0_未分类,
美容,先施白蘭霜有常保美容之功,3_愿景,美/功
美容,見人貌美不免妒忌今有迪安牌三種美顏品用以修飾可以不必妒忌,3_愿景,美/妒忌(反向愿景)
美容,雅霜美容妙品,3_愿景,妙品/美
美容,雅霜潤肌嫩膚美容妙品,3_愿景,嫩/妙品
美容,潤肌嫩膚美容妙品,3_愿景,嫩/妙品
美容,雙妹老牌國產精製久遠馳名最高等美容香品雪花膏,3_愿景,名/香/美
美容,國產精製久遠馳名最高等美容香品謹防假冒,3_愿景,名/香/美
美容,美容妙品淡粧濃抹兩相宜,3_愿景,妙品/美
美容,雅霜美容妙品淡粧濃抹兩相宜,3_愿景,妙品/美
美容,可愛之寗馨兒,3_愿景,爱
美容,國產精製久遠馳名最高等美容香品,3_愿景,名/香/美
美容,婦女服百齡機　補血調經　强身美容　夫婦和好　子女繞膝,3_愿景,强/美/好
美容,香雪香如鏵白如雪美容品推巨擘,3_愿景,香/白/美
美容,香如花白如雪美容品,3_愿景,香/白/美
美容,廸安　夢想不到的美今用三種化妝品可以達到目的,3_愿景,美
美容,廸安,0_未分类,
美容,美容妙品註册商標,3_愿景,妙品/美
美容,漢倫美容院,3_愿景,美
美容,美容院,3_愿景,美
美容,美容妙品註冊商標,3_愿景,妙品/美
美容,婦女服百齡機補血調經强身美容夫婦和好子女繞膝,3_愿景,强/美/好
美容,美容院　曼麗特蘭潄　寶麗瑪倫,3_愿景,美/丽
美容,壓倒一切滑稽片之滑稽鉅片　美容院,3_愿景,美
美容,寳塔牌馳名盛銷美容之王,3_愿景,名/王/美
美容,現代的美容妙品香水霜,3_愿景,现代/妙品/香
美容,美容術,2_科学,术
美容,吉蘭美容片,3_愿景,美/片
美容,先施公司表演好萊塢明星美容術,3_愿景,明星/美
美容,九星公司出品十六歲小姑娘,3_愿景,小姑娘(年轻)
美容,人人可以享用之三種美顏妙品,3_愿景,妙品/颜
美容,消黑美容水,1_恐吓,黑
美容,美容霜五洲藥房,3_愿景,美
美容,美容霜,3_愿景,美
美容,確有常保美容之功美人無以為寶惟白蘭霜以為寶,3_愿景,美/宝
美容,美容强身,3_愿景,强/美
美容,髮光可鑑美容攸關常用雙妹老牌生髪油,3_愿景,光/美
美容,美容專家王漢倫,2_科学,专家
美容,美容專家王漢倫女士表演科學化醫學化的美容術,2_科学,专家/科学/医学
美容,免費學美容術二星期可畢業,3_愿景,免费/毕业
美容,美國好萊塢美容專家對於中華女士之妙評！,2_科学,美国/专家/妙
美容,踏進先施公司美容館,3_愿景,美
美容,蜜絲佛佗美容指導院開幕,3_愿景,美
美容,蜜絲佛佗美容指導院宣言,3_愿景,美
美容,最高貴的美容品最優良的皮膚劑,3_愿景,贵/优/美
美容,九月十日起……本埠總分店同時舉行中法藥房秋季大廉價,3_愿景,廉价
美容,現代美容品之典型無敵牌蝶霜嫩面劑,3_愿景,现代/嫩/美
美容,新中華實業社發行高尚美容品安琪兒聲明,3_愿景,高尚/美
美容,現代科學美容院,2_科学,现代/科学
美容,美爾面除斑白膚嫩面美容,1_恐吓,斑
美容,唯一名貴的美容品十六歲小姑娘,3_愿景,唯一/贵/美
美容,盡善盡美的國貨美容劑雅霜,3_愿景,美/剂
美容,十六歲小姑娘為現代最盛行之美容劑,3_愿景,现代/美/剂
美容,美容品的愼重選擇苛於選擇美容品者終於選用蝶霜,3_愿景,美
美容,高級美容潤膚劑孩兒面,3_愿景,高级/美/剂
美容,唯一國貨嫩面劑雅霜對于美容有極大的功效,2_科学,功效/剂
美容,雙妹老牌雪花膏質細香雅嫩膚美容,3_愿景,香/嫩/美
美容,三分相貌七分裝現代美容全在人工人工巧妙各各不同,3_愿景,现代/妙/美
美容,中法藥房冬季大廉價大贈品科學化潤面美容劑孩兒面,2_科学,科学/剂
美容,雅霜美容嫩膚防除斑痣,1_恐吓,斑/痣
美容,美容嫩膚防除斑痣雅霜,1_恐吓,斑/痣
美容,實騐美容術,2_科学,实验/术
美容,細膩潤澤色香俱佳敷面潤膚無上佳品,3_愿景,香/佳品
美容,廸安研究美容之好機會,2_科学,研究/机会
美容,美容運動週機器贈彩法國香水减低碼價著名頭水再打七折明星花露香水八折出售,2_科学,机器/法国/香
美容,美容運動週,3_愿景,美
美容,雅霜對于美容有極大的功效,2_科学,功效
美容,健美容顏保護肌膚雅霜,3_愿景,健/美/颜
美容,皮膚病之勁敵外科中之良藥美容品之妙劑急救中之靈丹衛生上之雋品家庭中之恩物,1_恐吓,病/急救
美容,國府工商部美容妙品商票局註冊,2_科学,注册/妙品
美容,現代科學美容醫院為根除雀班敬告各界新舊患者啟事,1_恐吓,斑/患
美容,何樂不為,0_未分类,
美容,適合現代婦女需要的高上美容品,3_愿景,现代/高/美
美容,永安公司十五週紀念大減價廿一天大减價大贈品,3_愿景,赠品
美容,秋季先施公司大減價先施一元商店第一分店聯合第二分店大贈品展期七天,3_愿景,赠品
美容,素蘭霜　超過一切的美容品　確有嫩膚美顏之功,3_愿景,嫩/美/功
美容,美爾靣　除斑白膚　嫩面美容,1_恐吓,斑
美容,美容珍品　曲線安琪兒一名曲線美傾銷大贈獎,3_愿景,珍品/美/奖
美容,絕粹現代化的美容劑　雅霜,3_愿景,现代/美/剂
美容,人間天使美容珍品　曲線安琪兒大特價大贈獎,3_愿景,珍品/美/奖
美容,青春是值得歌頌的黃金時代　白雪是值得贊揚的美容妙品,3_愿景,白/妙品/美
美容,佳人喜用美容霜,3_愿景,佳人/美
美容,輝利化𥺁品公司今日起大减價大赠品廿一天　新闢花邊部飾品部本門市部內　特設伊的美容室免費整容及修指甲,3_愿景,赠品/免费/美
美容,先施老牌白蘭霜有常保美容之功,3_愿景,白/美/功
美容,潤面美容劑孩兒面,3_愿景,美/剂
美容,美女霜乃時代化的美容妙品,3_愿景,美女/时代/妙品
美容,第一流美容潤膚劑孩兒面,3_愿景,第一/美/剂
美容,秋高氣爽菊花黄佳人喜用美容霜,3_愿景,佳人/美
美容,最合理的美容品美容霜,3_愿景,合理/美
美容,先施老牌白蘭霜除斑嫩面美容珍品,1_恐吓,斑
美容,欲得他人之羨慕宜注意增進容貌之美,3_愿景,羡慕/美
美容,白雪人都信白雪是數一數二的美容品了，還信它的空盒是發財的機會嗎？祗須依下例的辦法去實行，便有得五萬元獎金的希望。,3_愿景,白/发财/机会/奖金
美容,潤膚美顏之高尚化粧品歐美之美容專家最推許之,2_科学,欧美/专家
美容,最受女界歡迎之美容品！,3_愿景,欢迎/美
美容,英國婦女之美容秘訣,2_科学,英国/秘诀
美容,美容秘術,2_科学,术
美容,請用蓮花牌美容品,3_愿景,美
美容,芙蓉霜去油膩美容品,3_愿景,美
美容,雅霜　為現代最孚衆望的美容劑,3_愿景,现代/美/剂
美容,最合理的美容品　美容霜,3_愿景,合理/美
美容,鴻翔公司表演好萊塢明星美容術,3_愿景,明星/美
美容,美容珍品安琪兒,3_愿景,珍品/美
美容,美容霜最合理的美容品擦用後保你滿意,3_愿景,合理/满意/美
美容,國府工商部商標局註冊美容妙品,2_科学,注册/妙品
美容,國府工商部美容妙品商標局註册,2_科学,注册/妙品
美容,現代科學美容醫院,2_科学,现代/科学
美容,家庭醫藥社最新出品美容洗面药粉,2_科学,医/药/最新
美容,國貨龍虎牌人丹現代美容劑孩兒面,3_愿景,现代/美/剂
美容,上海唯一偉大摩登美容室一朶花,3_愿景,唯一/伟大/摩登
美容,白雪是美容無上之聖品,3_愿景,白/圣品/美
美容,白雪是現代最進步的美容之聖品,3_愿景,白/现代/圣品
美容,先施老牌白蘭霜有潤膚嫩靣常保美容之功,3_愿景,白/嫩/美
美容,有潤膚嫩面常保美容之功,3_愿景,嫩/美/功
美容,一品香，是最新出世的美容香品,3_愿景,最新/香/美
美容,一品香美容霜,3_愿景,香/美
美容,欲得他人之羨慕宜增進容貌之美,3_愿景,羡慕/美
美容,標凖美容潤膚劑孩兒面化裝界最新代表作品精装孩兒面軟霜,3_愿景,最新/美/剂
美容,美容！駐顏！可滴香粉,3_愿景,香/美
美容,標準美容潤膚劑孩兒面,3_愿景,美/剂
